,clasificacion_grado,nivelConsumo,ocupacion,des_ocupacion,escoApro,des_esco_apro,escoActu,des_esco_act
145,12,2,1,CESANTE,6,SEXTO,6.0,SEXTO
146,19,3,1,CESANTE,5,QUINTO,5.0,CICLO III
147,17,6,2,ESTUDIA,9,NOVENO,9.0,NOVENO
148,4,1,1,CESANTE,8,OCTAVO,8.0,OCTAVO
149,8,2,1,CESANTE,5,QUINTO,5.0,QUINTO
150,6,3,1,CESANTE,6,SEXTO,6.0,SEXTO
151,12,1,1,CESANTE,5,QUINTO,5.0,QUINTO
152,9,2,5,TRABAJA,5,QUINTO,5.0,QUINTO
153,5,1,1,CESANTE,8,OCTAVO,8.0,OCTAVO
154,18,1,5,TRABAJA,9,NOVENO,9.0,NOVENO
155,19,1,1,CESANTE,5,QUINTO,5.0,QUINTO
156,12,3,5,TRABAJA,7,SEPTIMO,7.0,SEPTIMO
157,8,3,1,CESANTE,4,CUARTO,5.0,QUINTO
158,17,2,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
159,9,1,1,CESANTE,10,DECIMO,10.0,DECIMO
160,12,2,1,CESANTE,6,SEXTO,6.0,SEXTO
161,9,3,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
162,9,1,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
163,12,3,1,CESANTE,8,OCTAVO,8.0,OCTAVO
164,19,5,1,CESANTE,9,NOVENO,10.0,DECIMO
165,20,3,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
166,9,3,1,CESANTE,4,CUARTO,4.0,CUARTO
167,8,3,1,CESANTE,5,QUINTO,5.0,QUINTO
168,8,3,1,CESANTE,6,SEXTO,6.0,SEXTO
169,9,2,5,TRABAJA,6,SEXTO,6.0,SEXTO
170,19,3,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
171,13,5,1,CESANTE,5,QUINTO,5.0,QUINTO
172,17,3,5,TRABAJA,12,BACHILLER,13.0,TECNICO
173,4,2,1,CESANTE,6,SEXTO,6.0,SEXTO
174,19,2,1,CESANTE,4,CUARTO,4.0,CUARTO
175,10,3,2,ESTUDIA,5,QUINTO,5.0,QUINTO
176,19,6,1,CESANTE,3,TERCERO,3.0,TERCERO
177,4,1,2,ESTUDIA,7,SEPTIMO,8.0,OCTAVO
178,19,2,5,TRABAJA,6,SEXTO,6.0,SEXTO
179,15,1,2,ESTUDIA,3,TERCERO,3.0,TERCERO
180,9,5,1,CESANTE,5,QUINTO,5.0,QUINTO
181,7,3,1,CESANTE,5,QUINTO,5.0,QUINTO
182,4,6,5,TRABAJA,9,NOVENO,11.0,CICLO V
183,24,6,2,ESTUDIA,7,SEPTIMO,7.0,SEPTIMO
